TAG,DATE,CITY,STATE/PROV,ZIP/POST,COUNTRY,LAT,LONG,FIRST,NOTES
XAT710,8/1/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,KHRIS,feeding on 'gay feather' on the coast!
XCN101,8/8/2017,KETTERING,OH,45409,USA,39.724144,-84.183354,MARGARET,Son and his best friend found near nature reserve
XUC556,8/9/2017,WYOMING,MI,49509,USA,42.88386,-85.70616,PHIL,
WPU203,8/11/2017,EAST LANSING,MI,48824,USA,42.653979,-84.492032,OREN,"Children's garden MSU. Have good photos, can share"
XEL625,8/12/2017,FISH CREEK,WI,54212,USA,45.105511,-87.217607,PUM,"Found at nature center, peninsula state park"
XBJ177,8/14/2017,WHITEHALL,PA,18052,USA,40.658588,-75.491844,DREW,It's feeding on a butterfly bush in my backyard
XAT723,8/14/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,LAURA,Found alive on ground @ Charlotte Rhodes Park
XET633,8/14/2017,PRESCOTT,WI,54021,USA,44.749536,-92.794364,FRANCIS,On a plant in my wildflower garden.
XAM225,8/16/2017,TORONTO,ON,M4J1K4,CAN,43.649996,-79.376173,DAVE,
XAT722,8/16/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,CHASE,"In a butterfly garden, looked healthy."
XEL109,8/16/2017,LITTLE CHUTE,WI,54140,USA,44.283758,-88.309465,JUDY,"Feeding on Liatris pycnostachya, took photographs"
XAM224,8/18/2017,PORT DARLINGTON,ON,L1C3K3,CAN,43.889674,-78.663647,BART,Photographed 25 meters from shore of Lake Ontario.
XCW577,8/18/2017,ANKENY,IA,50021,USA,41.724091,-93.60968,RYAN,The monarch was dead on my driveway
XLM251,8/18/2017,LONGMEADOW,MA,1106,USA,42.052405,-72.567774,LEA,Fannie Stebbins Refuge. Bedraggled wing. Photo
XEJ434,8/18/2017,JANESVILLE,WI,53545,USA,42.689826,-89.050644,CHERRIE,
SBJ045,8/19/2017,STRATFORD,CT,6615,USA,41.185034,-73.14015,DONNA,Found at Audubon CT at Stratford Point.
XHB353,8/19/2017,ROCHESTER,NY,14625,USA,43.13424,-77.4996,KIM,Wing found near butterfly bush in suburban yard
XLY705,8/19/2017,OSAGE,IA,50461,USA,43.286734,-92.810092,JERAD,
XLY705,8/19/2017,OSAGE,IA,50461,USA,43.286734,-92.810092,JERAD,"Found at Apple Valley home in Osage, IA"
XAU009,8/19/2017,CAMDEN,ME,4843,USA,44.210169,-69.071581,JADE GALE,Took pic of it outside Camden (ME) Public Library
XMB000,8/19/2017,MINNEAPOLIS,MN,55407,USA,44.940372,-93.252678,KATHERINE,Where did this butterfly start?
XHT775,8/19/2017,SAINT PAUL,MN,55104,USA,44.955483,-93.160531,DAVE,1:30 PM 8/19/17 nectaring on liatrus liguilistica
XER142,8/19/2017,SAINT PAUL,MN,55106,USA,44.957208,-93.052916,ANITRA,In theDayton's Bluff neighborhood. Good health
XAA080,8/20/2017,ANNAPOLIS,NS,G3A2C7,CAN,44.74268,-65.51761,JEAN,Photo taken in the Annapolis Historic Garden
XJS277,8/20/2017,MORGANTOWN,PA,19543,USA,40.167689,-75.88701,ALICE,
WSB685,8/21/2017,OXFORD,MD,21654,USA,38.686228,-76.169503,ERICA,Mid-morning nectaring on cup plant
WSB685,8/21/2017,TRAPPE,MD,21654,USA,38.686228,-76.169503,JIM,
SBJ045,8/21/2017,STRATFORD,CT,6615,USA,41.185034,-73.14015,PATTY,
XHN560,8/21/2017,GRAND RAPIDS,MI,49504,USA,42.986465,-85.721042,CASSANDRA,Near the grounds of John Ball Zoo
XHB355,8/21/2017,ROCHESTER,NY,14526,USA,43.141702,-77.455684,VINCE,found in yard at home
XEL648,8/21/2017,DOOR COUNTY,WI,54212,USA,45.105511,-87.217607,MOLLY,
XEL648,8/21/2017,FISH CREEK,WI,54212,USA,45.105511,-87.217607,MOLLY,
XET401,8/22/2017,MONTGOMERY,MN,56069,USA,44.436114,-93.587101,AVA,In tall grass/ weeds
XCN054,8/23/2017,XENIA,OH,45385,USA,39.691445,-83.953106,KATHY,My husband found it on our deck on a milkweed.
WSB760,8/23/2017,LANCASTER,PA,17603,USA,40.045868,-76.354179,BREA,In Waystation feeding on butterfly bush.
XNP653,8/24/2017,MISHICOT,WI,54228,USA,44.264424,-87.649973,BRUCE,"Monarch is moving very slow, was unusually cold"
XAT755,8/24/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,CHARLES,Saw this one at Charlotte Rhoades Butterfly Garden
XCU809,8/24/2017,PENINSULA POINT,MI,54212,USA,45.105511,-87.217607,JANET,"w/670 other monarchs, T38N, R22W Sect 24"
XAJ699,8/25/2017,TORONTO,ON,M6K0A5,CAN,43.649996,-79.376173,ERIN,Outside of the Argonauts Rowing Club.
XBJ646,8/25/2017,CAPE MAY COURT HOUSE,NJ,8210,USA,39.11928,-74.82582,JERRY,"the butterfly was on a customers porch, dead"
WNG093,8/25/2017,LOVELAND,OH,45140,USA,39.267042,-84.292122,JENNI,This butterfly was feeding on our butterfly weed!
XBJ800,8/25/2017,TULLYTOWN,PA,19054,USA,40.16834,-74.822181,DAVID,took a photo of the butterfly. Look very well fed
XHA000,8/25/2017,BERLIN,CT,6037,USA,41.60778,-72.7701,ANDY,Seen in a field at Pistol Creek walking trails
XCS827,8/25/2017,WASHINGTON,MI,48094,USA,42.73446,-82.99812,BOB,@Meijer on a buddleia davidii
XEL703,8/25/2017,FISH CREEK,WI,54212,USA,45.105511,-87.217607,JJ,Monarch waystation in Peninsula State Park
XPC162,8/26/2017,UPPER PROVIDENCE,PA,19460,USA,40.111368,-75.546198,,
XLM343,8/26/2017,LONGMEADOW,MA,1106,USA,42.052405,-72.567774,GAYLE,Photographed resting butterfly clear image of tag
XCR931,8/26/2017,GARDEN CITY,MI,48135,USA,42.324302,-83.338607,JASON & AZIZ,I took a lot of pictures. They were on my Zinnias.
XJZ283,8/26/2017,CLINTON TOWNSHIP,MI,48038,USA,42.599508,-82.953544,VINCE,In garden feeding on flowers for 5 hours approx.
XAP810,8/27/2017,CAMBRIDGE,ON,N1R3V2,CAN,43.363582,-80.312776,B,Seen nectaring in backyard on giant yellow hyssop
XBS848,8/27/2017,MONKTON,MD,21111,USA,39.56994,-76.59288,STEVE,Just found wings. killed by cicada killer bee.
XHB027,8/27/2017,PENNSBURG,PA,18073,USA,40.3926,-75.4824,PHYLLIS,Found on a butterfly bush.
XCR885,8/27/2017,GARDEN CITY,MI,48135,USA,42.324302,-83.338607,SHARON,The monarch was perched on our butterfly bush.
XCS656,8/27/2017,MILFORD,MI,48381,USA,42.574828,-83.594968,JENIFER,healthy female on my buddleia bush
XLB836,8/27/2017,MADISON,WI,53704,USA,43.117217,-89.335082,SANDY,It was on zinnias in my backyard
XLE925,8/27/2017,STEVENS POINT,WI,54481,USA,44.54298,-89.56446,BECKY,It was found in my backyard feeding on liatris
XPC209,8/27/2017,EDINA,MN,55424,USA,44.902538,-93.339411,JEREMY,Found this monarch in my mostly native garden!
XMX454,8/28/2017,GRANDVILLE,MI,49418,USA,42.896187,-85.756061,JIM,The monarch was on a Mexican Sunflower
XRP869,8/29/2017,COLUMBUS,OH,43214,USA,40.053773,-83.025973,SHAWN,In our backyard. Laying in the grass
XGZ518,8/30/2017,INVERHURON,ON,NOG2T0,CAN,43.940961,-79.43899,KURT,
XMT628,8/30/2017,PENSACOLA,FL,32514,USA,30.524613,-87.236038,SARA,I snapped a photo so as not to disturb it's journe
WPU021,8/30/2017,EAST LANSING,MI,48823,USA,42.745357,-84.470605,JOHN,Found alive near the MSU Horticultural Gardens
XMX498,8/30/2017,GRANDVILLE,MI,49418,USA,42.896187,-85.756061,MATT,
XMN050,8/31/2017,BEACH HAVEN,NJ,8008,USA,39.6468,-74.18586,WES,Monarch found dead on my back deck near landscape.
XRS387,8/31/2017,CANTON,OH,44718,USA,40.851462,-81.443104,FRANCES,front porch Deceased
WJY101,8/31/2017,IOWA FALLS,IA,50126,USA,42.512225,-93.291365,T,
XJX650,9/1/2017,NILES,OH,44446,USA,41.184692,-80.748967,KATHI,1 mile
XPP823,9/1/2017,NORTH RIDGEVILLE,OH,44039,USA,41.391979,-82.019396,JANICE,This Monarch was in the field feeding on Ironweed
XBA077,9/1/2017,ITHACA,NY,14853,USA,42.439636,-76.487351,PHOEBE,In the ILR courtyard at Cornell University
XJW556,9/1/2017,SAINT PAUL,MN,55108,USA,44.982543,-93.179571,WILLIAM,
XAL286,9/2/2017,TORONTO,ON,M4L2L2,CAN,43.649996,-79.376173,JANICE,
XPP438,9/2/2017,THORNTON,CO,80241,USA,39.928789,-104.945551,CARTER,"Found in truck, so it may be from Boulder 80303"
HBB798,9/2/2017,ROSLINDALE,MA,2131,USA,42.28473,-71.127697,ERIC,Butterfly bush in backyard
XAT364,9/2/2017,PORTLAND,ME,4102,USA,43.663962,-70.291819,JENNIFER,
XNP966,9/2/2017,MISHICOT,WI,54228,USA,44.264424,-87.649973,JODI,On a butterfly bush in my yard
XER635,9/2/2017,MINNEAPOLIS,MN,55417,USA,44.904554,-93.227606,SARAH,Found the tag in a park near lake Nikomis in mpls
WBG682,9/3/2017,WINNIPEG,MB,R3N0T7,CAN,49.904029,-97.164419,JOANNE,
XAS453,9/3/2017,FORT WORTH,TX,76102,USA,32.757178,-97.323972,ALICIA,
XAX084,9/3/2017,HUNTERSVILLE,NC,28078,USA,35.41404,-80.85258,MIKE,Photographed at approx 13:00 visiting yard flowers
XBR131,9/3/2017,BRYANTOWN,MD,20601,USA,38.627621,-76.874973,SUSAN,https://photos.app.goo.gl/yt70ItqZb7jRqjvt1 photo here
XJR954,9/3/2017,NEWTOWN,PA,18940,USA,40.245694,-74.942426,AUTUMN,Found wings in garden a few days after tagging. :(
XAL093,9/3/2017,PARMA,OH,44134,USA,41.387185,-81.702198,REBECCA,"A little worse for wear, but still alive!"
XCH281,9/3/2017,SOLON,OH,44139,USA,41.392321,-81.444888,CHRIS,Found this monarch just outside my front door.
XJZ702,9/3/2017,WEST DES MOINES,IA,50265,USA,41.583232,-93.756888,JOHN,Took pic of monarch on sedum plant. Awesome
XMA117,9/3/2017,MILWAUKEE,WI,53208,USA,43.048166,-87.964638,RANDALL,.Probably killed by intense rain on 9-2-17
XLB867,9/3/2017,MADISON,WI,53704,USA,43.117217,-89.335082,TERRIE,Olbrich Gardens resting on a tree
XHT204,9/3/2017,EAGAN,MN,55123,USA,44.801532,-93.141757,TYLER,Found it on a Joe Pye Weed in my backyard.
XJW932,9/3/2017,SAINT PAUL,MN,55117,USA,45.000144,-93.083067,DEREK,Found at Crossroads Elementary.
XSB810,9/3/2017,CHIPPEWA FALLS,WI,54729,USA,45.031667,-91.395833,PETER,The monarch was alive. Would you like a photo?
KRE878,9/4/2017,FREEHOLD,NJ,7728,USA,40.243519,-74.277392,CHRIS,
XRN699,9/4/2017,JACOBSBURG,PA,18091,USA,40.828909,-75.330959,SHERRY,
XMU078,9/4/2017,CUYAHOGA FALLS,OH,44221,USA,41.142424,-81.472891,JENNIFER,PHOTO submitted. This beauty was in my backyard this evening. Hope this helps your research.
XLW157,9/4/2017,OAK HARBOR,OH,43449,USA,41.533747,-83.138207,SHARON,Photgraphed in Ottawa National Wildlife Refuge
XHA053,9/4/2017,EAST HAMPYON,CT,6424,USA,41.56008,-72.50136,BONNIE,"my front yard , fully intact"
XRR084,9/4/2017,TOLEDO,OH,43609,USA,41.630611,-83.576936,JAMES,
XCT882,9/4/2017,WAUKEGAN,IL,60085,USA,42.360907,-87.862378,CHARLENE,It was on the steps of our deck in our back yard
XMX211,9/4/2017,BEVERLY HILLS,MI,48025,USA,42.523195,-83.265758,LUBA,Found in backyard- have photos
XHB273,9/4/2017,BUFFALO,NY,14201,USA,42.89797,-78.884047,ANNETTE,In a relative's garden. Very healthy
XLB879,9/4/2017,MADISON,WI,53714,USA,43.099135,-89.3127,TOM,In front yard on sedum plants
WSB425,9/5/2017,PASADENA,MD,21122,USA,39.127599,-76.512544,STACIE,I unfortunately found dead at a funeral home
XRJ496,9/5/2017,LIDO BEACH PRESERVE,NY,11561,USA,40.585753,-73.657497,STEVE,
XJX582,9/5/2017,ROCKY RIVER,OH,44116,USA,41.467062,-81.860125,STEPHANIE,I found it flying into my flower bed of zinnias.
SPP878,9/5/2017,SPENCER,IA,51301,USA,43.144591,-95.144154,,nearly dead
XAL436,9/6/2017,TORONTO,ON,M2R2R3,CAN,43.649996,-79.376173,LINDA,"Still alive, landed on a flower in my garden."
XEN378,9/6/2017,PASADENA,TX,77503,USA,29.691128,-95.162613,KRISTEN,OMG!!! I am so excited!!! 😁
XLJ383,9/6/2017,TULSA,OK,74136,USA,36.060952,-95.939506,VIRGINIA,On the Ageratum flowers at 12:30 p.m. by mailbox
XLP522,9/6/2017,IRWIN,PA,15642,USA,40.328956,-79.721348,ELLEN,Right outside my kitchen window!
XRR248,9/6/2017,TOLEDO,OH,43614,USA,41.60343,-83.627311,,
XAJ211,9/7/2017,DUNDAS,ON,L9H6H1,CAN,43.547005,-79.651239,AIJA,It was in my neighbour's garden fresh and lovely
XLM393,9/7/2017,CHESTER SPRINGS,PA,19425,USA,40.089503,-75.637922,AMY,
XEC996,9/7/2017,CEDAR RAPIDS,IA,52402,USA,42.020752,-91.669918,TABITHA,
XEE063,9/7/2017,CEDAR RAPIDS,IA,52402,USA,42.020752,-91.669918,DEBRA,"Photo Submitted, Noelridge Park in Cedar Rapids, Iowa"
XUC605,9/7/2017,GRAND RAPIDS,MI,49504,USA,42.986465,-85.721042,GLENN,Monarch released from John Ball Zoo
XLG841,9/7/2017,GARRETSON,SD,57030,USA,43.71474,-96.51942,COLTON,The monarch we found was flying by the school.
XAT830,9/7/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,MARSHA,BtrfybushCharlotte Rhoades Park Butterfly Garden
XHG798,9/8/2017,SMITHFIELD,VA,23430,USA,36.984938,-76.619668,JOSEPH,Visiting Zinnias in my garden.
XGR802,9/8/2017,STONE HARBOR,NJ,8247,USA,39.05188,-74.759867,PETER,"photo on visit to Stone Harbor, NJ 08247"
XBT463,9/8/2017,WOODSTOCK,MD,21163,USA,39.34116,-76.85994,CAROLYN,dead
XRR152,9/8/2017,TOLEDO,OH,43606,USA,41.672103,-83.602649,,
XNY547,9/8/2017,SOMERVILLE,MA,2145,USA,42.391409,-71.094721,JO MARY,This one stopped by the Home Depot store
XAA761,9/9/2017,SAINT JOHN,NB,E5J1C3,CAN,45.27271,-66.06766,BEV,
XTB916,9/9/2017,LEAMINGTON,ON,N8H3V4,CAN,42.05009,-82.59981,ANDREW,
XTB916,9/9/2017,LEAMINGTON,ON,N9V2K5,CAN,42.05009,-82.59981,MATT,Dead at point pelee national park
XAL948,9/9/2017,NIAGARA FALLS,ON,L0S1J0,CAN,43.058121,-79.048302,KRISTEN,Butterfly Conservatory
XML173,9/9/2017,WHITBY,ON,L1P0A5,CAN,43.88342,-78.93287,PANKTIE,It was found in Whitby ON
XCE591,9/9/2017,LEXINGTON,KY,40515,USA,37.963113,-84.467883,KAREN,Monarch Waystation at Raven Run Nature Sanctuary
XSU684,9/9/2017,OLATHE,KS,66062,USA,38.840421,-94.78191,JENNIFER,"My daughter was checking her garden in our backyard and noticed a lot of Monarchs on our “live forever” plants, scientific name hylotelephium, I believe. She took a picture of all of them and just showed it to me today, pointing out that one had a tag, so we found your website for reporting the find."
XBT546,9/9/2017,WESTMINSTER,MD,21157,USA,39.55512,-76.99056,BARBARA,Found on milkweed in my backyard
XPG878,9/9/2017,LAFAYETTE,CO,80026,USA,40.000519,-105.098843,JIM,
XMP906,9/9/2017,SELINSGROVE,PA,17870,USA,40.83168,-76.90362,JASON,
XCH804,9/9/2017,NOVELTY,OH,44072,USA,41.4723,-81.33522,ALEX,Found on a flower at the Metroparks.
XUC589,9/9/2017,GRAND RAPIDS,MI,49548,USA,42.86657,-85.660484,ALINA,John Ball Zoo
XUC465,9/9/2017,GRAND RAPIDS,MI,49507,USA,42.934602,-85.652654,JJ,Release at John Ball Zoo
XUC500,9/9/2017,GRAND RAPIDS,MI,49504,USA,42.986465,-85.721042,DEBBIE,
XUC553,9/9/2017,GRAND RAPIDS,MI,49504,USA,42.986465,-85.721042,KIM,Released on 9/9/17 from John Ball Zoo
XUC595,9/9/2017,GRAND RAPIDS,MI,49504,USA,42.986465,-85.721042,ADDY,
XUC363,9/9/2017,GRAND RAPIDS,MI,49505,USA,43.010412,-85.625219,AMANDALYNN,
XHS462,9/9/2017,MADISON,WI,53711,USA,43.030573,-89.444075,DAN,
XMA161,9/9/2017,WAUWATOSA,WI,53213,USA,43.049511,-88.005322,JILL,The monarch is dining on Verbena Bonariensis
XUL126,9/9/2017,CARVE,MN,55314,USA,44.737743,-94.625994,DAVE,
XER593,9/9/2017,MINNEAPOLIS,MN,55417,USA,44.904554,-93.227606,,
XEE578,9/9/2017,MINNETONKA,MN,55345,USA,44.921543,-93.482675,KATHLEEN,found in my garden nectaring
XRC292,9/10/2017,WINNIPEG,MB,R3P1R5,CAN,49.904029,-97.164419,GAYWOOD,"The monarch in good condition, in my back yard."
XAG328,9/10/2017,NEWCASTLE,ON,L1M14,CAN,43.917222,-78.589722,SOPHIE,
XAL365,9/10/2017,TORONTO,ON,M1N1J2,CAN,43.649996,-79.376173,DAVID,
XAB350,9/10/2017,GRANBY,QC,J2J1V8,CAN,45.40008,-72.73243,CAROLINE,
XAB671,9/10/2017,WATERLOO,QC,J2G1X2,CAN,45.35008,-72.51582,JOHANNE,première fois à une envolée de Monarques à Granby
XGS000,9/10/2017,CAPE MAY POINT,NJ,8212,USA,38.939854,-74.963948,AILEEN,The monarch was found dead in the ground.
XRG850,9/10/2017,MOUNT HOLLY,NJ,8060,USA,39.991815,-74.807251,BRIAN,
XMN601,9/10/2017,OCEAN BEACH,NY,11770,USA,40.647098,-73.151777,MARGARET,
XPR030,9/10/2017,AVON,OH,44011,USA,41.448666,-82.021439,MELISSA,
XHU864,9/10/2017,CHICAGO,IL,60660,USA,41.990183,-87.6648,CESAR,Montrose Beach Bird and Butterly Sanctuary
XEY702,9/10/2017,CHICAGO,IL,60626,USA,42.005107,-87.669133,ANDREW,
XEE060,9/10/2017,CEDAR RAPIDS,IA,52402,USA,42.020752,-91.669918,MARCIA,We found this monarch at Noelridge Gardens.
XCX618,9/10/2017,MARSHALLTOWN,IA,50158,USA,42.05592,-92.9406,KRISTI,It was found in a tree behind earl may with others
XUC891,9/10/2017,ANN ARBOR,MI,48105,USA,42.306761,-83.700406,CHENG,
XAY750,9/10/2017,SENECA FALLS,NY,13148,USA,42.92028,-76.78488,ROBERT,Resting on bush at Montezuma NWR
XLB886,9/10/2017,MADISON,WI,,USA,43.0878055,-89.4301208,LINDA,Zip code unknown
XMA927,9/10/2017,MINNETONKA,MN,55345,USA,44.921543,-93.482675,BROOK,Found feeding on sedum flowers in front yard
XMA928,9/10/2017,MINNETONKA,MN,55345,USA,44.921543,-93.482675,GEORGE,"Read tag while feeding on C Goldenrod it flew 
SSW"
XLG483,9/10/2017,COON RAPIDS,MN,55433,USA,45.167194,-93.324436,CAM,
XPU777,9/11/2017,LEAMINGTON,ON,N8H3V4,CAN,42.05009,-82.59981,JESSICA,
XPU777,9/11/2017,LEAMINGTON,ON,N8H3V4,CAN,42.05009,-82.59981,JOAN,
XAL562,9/11/2017,TORONTO,ON,M4L1N5,CAN,43.649996,-79.376173,TONY,East end of Toronto in The Beach at the beach.
XAB644,9/11/2017,GRANBY,QC,J2J0G3,CAN,45.40008,-72.73243,MARIE-EVE,Parfait état
XRP373,9/11/2017,LEIPZIG,DE,19901,USA,39.149969,-75.531543,CHRIS,Bombay Hook National Wildlife Refuge.
XCG488,9/11/2017,COLUMBUS,OH,43203,USA,39.971464,-82.969937,KETURAH,Franklin Park Conservatory 1777 E Broad St.
XTY827,9/11/2017,HARTFORDCITY,IN,47348,USA,40.4664,-85.36512,SHERRY,
XMM566,9/11/2017,SHOREHAM,NY,11786,USA,40.949365,-72.891529,JESSICA,nectaring in yard with more monarchs than usual
XLJ100,9/11/2017,OMAHA,NE,68144,USA,41.23321,-96.113706,HEATHER,
XPA634,9/11/2017,DES MOINES,IA,50310,USA,41.626925,-93.672635,DEAN,Found in zinnia garden by our driveway
XLY598,9/11/2017,IOWA CITY,IA,52246,USA,41.654177,-91.560065,JASPER,
WPU516,9/11/2017,ANN ARBOR,MI,48105,USA,42.306761,-83.700406,KRISTA,
XUC626,9/11/2017,LIVONIA,MI,48154,USA,42.397134,-83.377371,LEIGH,
XAT883,9/11/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,SHARON,"I found the monarch in the Charlotte Rhoades Garden in Southwest Harbor, Maine and took pics of it... A bit tattered in the wings but otherwise appeared healthy. It looked like something had eaten away at the orange pattern areas of the wings and left the black part. Interesting...."
XHT245,9/11/2017,EAGAN,MN,55122,USA,44.801661,-93.199294,SHANNON,Backyard on Mexican Sunflowers
XPU036,9/12/2017,TALLAHASSEE,FL,32303,USA,30.483064,-84.32434,ALLISON,Laying eggs on milkweed in my garden
XRZ181,9/12/2017,MANTEO,NC,27954,USA,35.915917,-75.677254,PAT,Butterfly alive and photographed
XRR259,9/12/2017,PERRYSBURG,OH,43551,USA,41.542639,-83.597702,JAN,
XUC917,9/12/2017,ANN ARBOR,MI,48105,USA,42.306761,-83.700406,BECKY,Seen at Leslie Science and Nature Center
XUC692,9/12/2017,CENTERLINE,MI,48015,USA,42.480245,-83.025107,KRISTY,My backyard
XLB977,9/12/2017,MONONA,WI,53716,USA,43.065869,-89.312254,ALDO LEOPOLD NATURE CENTER,
XPL526,9/12/2017,SIOUX FALLS,SD,57103,USA,43.535409,-96.685536,VITALIY,"In our driveway, sitting in the grass"
XHT479,9/12/2017,BURNSVILLE,MN,55337,USA,44.770175,-93.281177,JULIE,"Vista View Park, Burnsville, MN"
XUX102,9/13/2017,GLEN BURNIE,MD,21060,USA,39.164559,-76.583398,JERRY,found on side of road suspected it was hit by car
XBT614,9/13/2017,WESTMINSTER,MD,21157,USA,39.55512,-76.99056,EILEEN,
XHA032,9/13/2017,CLINTON,CT,6413,USA,41.291966,-72.530871,CLIFF,Monarch on flower photographed tag# & it flew away
XHA217,9/13/2017,OLD SAYBROOK,CT,6475,USA,41.29974,-72.39036,ANNE,At our butterfly bush along with 6 untagged
XBC890,9/13/2017,ERIE,PA,16505,USA,42.096961,-80.16988,KAREN,
XAT026,9/13/2017,NEWTON,MA,2465,USA,42.348882,-71.225607,TIFFANY,on Butterfly Bush
XLB969,9/13/2017,MADISON,WI,53704,USA,43.117217,-89.335082,RICHARD,
XEJ120,9/13/2017,SIOUX FALLS,SD,57108,USA,43.474208,-96.687689,STEVE,
XAT738,9/13/2017,NORTHEAST HARBOR,ME,4662,USA,44.29347,-68.284715,ANN,It was alive but not doing well
XMB065,9/13/2017,SAVAGE,MN,55378,USA,44.763814,-93.350815,JOSH,
XRZ399,9/14/2017,SAINT-ANDRE,NB,E3Y2X1,CAN,47.251719,-68.02793,MANON,At the elementary school close to my home
XUS508,9/14/2017,HUMBLE,TX,77346,USA,30.033333,-95.25,GERALD,"Seen feeding 9/14/17 Others mating, baby caterpillars, 7 born yesterday, 3 more visible. Backyard"
XHC784,9/14/2017,ALEXANDRIA,VA,22306,USA,38.760953,-77.095861,SUZANNE,Alive! Fed on butterfly bush by our pond(5-7PM)
