month,year,lat_range,fall_roost_dates,fall_roost_number,fall_roost_distinct_dates
1,2004,30+_TO_35,1,1,1
3,2009,4O+_TO_45,1,125,1
4,2009,4O+_TO_45,1,130,1
7,2019,4O+_TO_45,2,15,2
8,2002,45+_TO_50,2,2,2
8,2002,4O+_TO_45,1,1,1
8,2003,45+_TO_50,6,2005,6
8,2003,4O+_TO_45,9,9,4
8,2004,20_OR_LESS,1,1,1
8,2004,45+_TO_50,2,8,2
8,2004,4O+_TO_45,8,307,6
8,2005,45+_TO_50,6,6,6
8,2005,4O+_TO_45,30,383,12
8,2006,45+_TO_50,2,2,1
8,2006,4O+_TO_45,31,31,15
8,2007,35+_TO_40,1,1,1
8,2007,45+_TO_50,9,208,7
8,2007,4O+_TO_45,58,356,16
8,2008,45+_TO_50,2,1800,2
8,2008,4O+_TO_45,11,2243,6
8,2009,45+_TO_50,13,2618,9
8,2009,4O+_TO_45,49,106866,13
8,2010,45+_TO_50,18,9446,12
8,2010,4O+_TO_45,45,36889,16
8,2011,35+_TO_40,1,100,1
8,2011,45+_TO_50,8,1930,7
8,2011,4O+_TO_45,10,3979,5
8,2012,45+_TO_50,5,351,5
8,2012,4O+_TO_45,13,1725,6
8,2013,4O+_TO_45,1,200,1
8,2014,45+_TO_50,7,440,4
8,2014,4O+_TO_45,6,64,4
8,2015,45+_TO_50,10,458,9
8,2015,4O+_TO_45,22,5698,10
8,2016,45+_TO_50,10,547,7
8,2016,4O+_TO_45,6,152,5
8,2017,45+_TO_50,12,3236,10
8,2017,4O+_TO_45,27,7916,8
8,2018,45+_TO_50,38,8253,19
8,2018,4O+_TO_45,111,35721,16
8,2019,35+_TO_40,2,65,2
8,2019,45+_TO_50,52,14109,17
8,2019,4O+_TO_45,70,6428,16
8,2020,35+_TO_40,1,8,1
8,2020,45+_TO_50,35,4691,15
8,2020,4O+_TO_45,35,5183,11
9,2002,30+_TO_35,1,1,1
9,2002,35+_TO_40,7,46,6
9,2002,4O+_TO_45,6,6,5
9,2003,30+_TO_35,7,7,4
9,2003,35+_TO_40,16,7515,12
9,2003,45+_TO_50,1,1,1
9,2003,4O+_TO_45,36,134,17
9,2004,30+_TO_35,4,4,4
9,2004,35+_TO_40,10,109,7
9,2004,45+_TO_50,2,6,2
9,2004,4O+_TO_45,13,13,10
9,2005,30+_TO_35,9,7405,5
9,2005,35+_TO_40,25,251,14
9,2005,45+_TO_50,2,2,2
9,2005,4O+_TO_45,54,202,20
9,2006,20_OR_LESS,1,1,1
9,2006,30+_TO_35,5,5,4
9,2006,35+_TO_40,24,83,14
9,2006,4O+_TO_45,41,5040,19
9,2007,30+_TO_35,1,65,1
9,2007,35+_TO_40,39,27488,20
9,2007,4O+_TO_45,53,2004341,21
9,2008,30+_TO_35,4,730,2
9,2008,35+_TO_40,15,1924,13
9,2008,45+_TO_50,3,2045,2
9,2008,4O+_TO_45,42,12518,19
9,2009,30+_TO_35,36,68475,10
9,2009,35+_TO_40,30,5651,17
9,2009,45+_TO_50,1,200,1
9,2009,4O+_TO_45,32,4347,14
9,2010,20+_TO_25,1,300,1
9,2010,30+_TO_35,6,1688,3
9,2010,35+_TO_40,55,54701,18
9,2010,45+_TO_50,7,1774,4
9,2010,4O+_TO_45,108,81193,20
9,2011,25+_TO_30,1,1000,1
9,2011,30+_TO_35,16,5845,8
9,2011,35+_TO_40,25,4873,13
9,2011,45+_TO_50,4,1200,4
9,2011,4O+_TO_45,33,10272,17
9,2012,30+_TO_35,5,138,3
9,2012,35+_TO_40,24,27860,14
9,2012,45+_TO_50,4,840,4
9,2012,4O+_TO_45,56,85008,22
9,2013,35+_TO_40,14,2169,11
9,2013,45+_TO_50,1,50,1
9,2013,4O+_TO_45,23,2001,12
9,2014,35+_TO_40,20,4231,13
9,2014,45+_TO_50,9,1444,5
9,2014,4O+_TO_45,79,21139,22
9,2015,30+_TO_35,4,226,3
9,2015,35+_TO_40,57,9197,21
9,2015,45+_TO_50,7,1390,5
9,2015,4O+_TO_45,122,65644,27
9,2016,30+_TO_35,5,680,3
9,2016,35+_TO_40,25,4513,16
9,2016,45+_TO_50,10,2539,6
9,2016,4O+_TO_45,84,16188,27
9,2017,30+_TO_35,3,2764,2
9,2017,35+_TO_40,24,3199,11
9,2017,45+_TO_50,7,1863,6
9,2017,4O+_TO_45,62,18167,26
9,2018,30+_TO_35,20,6644,6
9,2018,35+_TO_40,89,33414,21
9,2018,45+_TO_50,13,2802,9
9,2018,4O+_TO_45,259,325084,30
9,2019,35+_TO_40,32,41085,15
9,2019,45+_TO_50,12,1849,9
9,2019,4O+_TO_45,405,155460,30
9,2020,25+_TO_30,3,247,3
9,2020,30+_TO_35,7,10574,3
9,2020,35+_TO_40,85,29503,18
9,2020,45+_TO_50,5,1118,5
9,2020,4O+_TO_45,173,61196,23
10,2002,25+_TO_30,4,4,3
10,2002,30+_TO_35,3,3,3
10,2003,20+_TO_25,1,1,1
10,2003,25+_TO_30,7,4204,6
10,2003,30+_TO_35,20,20,9
10,2004,25+_TO_30,8,157,7
10,2004,30+_TO_35,21,666,10
10,2004,35+_TO_40,1,1,1
10,2005,20_OR_LESS,1,1,1
10,2005,25+_TO_30,14,315,13
10,2005,30+_TO_35,33,45761,13
10,2005,35+_TO_40,13,3213,10
10,2005,4O+_TO_45,2,2,2
10,2006,25+_TO_30,27,6273,15
10,2006,30+_TO_35,23,23,12
10,2006,35+_TO_40,11,11,8
10,2006,4O+_TO_45,3,3,2
10,2007,20+_TO_25,4,4031,4
10,2007,20_OR_LESS,1,100000,1
10,2007,25+_TO_30,43,2026933,13
10,2007,30+_TO_35,40,35135,17
10,2007,35+_TO_40,16,5735,8
10,2007,4O+_TO_45,3,276,3
10,2008,20_OR_LESS,2,200000,2
10,2008,25+_TO_30,15,4572,10
10,2008,30+_TO_35,36,48659,16
10,2008,35+_TO_40,5,2750,4
10,2009,20+_TO_25,4,2202,4
10,2009,25+_TO_30,14,3446,10
10,2009,30+_TO_35,24,31762,12
10,2009,35+_TO_40,9,413,6
10,2009,4O+_TO_45,1,250,1
10,2010,20+_TO_25,2,40,2
10,2010,20_OR_LESS,2,3300,2
10,2010,25+_TO_30,25,12893,15
10,2010,30+_TO_35,50,228273,15
10,2010,35+_TO_40,8,2690,6
10,2010,4O+_TO_45,3,950,3
10,2011,20+_TO_25,3,102,2
10,2011,20_OR_LESS,1,1,1
10,2011,25+_TO_30,21,21054,13
10,2011,30+_TO_35,41,32756,21
10,2011,35+_TO_40,13,9283,11
10,2011,4O+_TO_45,8,2326,7
10,2012,20+_TO_25,1,2000,1
10,2012,20_OR_LESS,1,300,1
10,2012,25+_TO_30,13,7311,9
10,2012,30+_TO_35,12,1551,9
10,2012,35+_TO_40,4,6095,4
10,2012,4O+_TO_45,1,8,1
10,2013,20+_TO_25,6,5419,5
10,2013,25+_TO_30,13,1795,9
10,2013,30+_TO_35,34,3278,17
10,2013,35+_TO_40,10,3255,6
10,2013,4O+_TO_45,9,2422,8
10,2014,25+_TO_30,25,9885,13
10,2014,30+_TO_35,67,25897,24
10,2014,35+_TO_40,18,7391,12
10,2014,4O+_TO_45,3,228,2
10,2015,20+_TO_25,8,10792,6
10,2015,25+_TO_30,38,23360,17
10,2015,30+_TO_35,102,64624,27
10,2015,35+_TO_40,29,41375,15
10,2015,4O+_TO_45,8,2464,8
10,2016,20+_TO_25,2,886,1
10,2016,25+_TO_30,17,79459,11
10,2016,30+_TO_35,50,30864,18
10,2016,35+_TO_40,13,4232,10
10,2016,4O+_TO_45,6,1547,4
10,2017,20+_TO_25,5,1740,3
10,2017,20_OR_LESS,1,5000,1
10,2017,25+_TO_30,47,23477,18
10,2017,30+_TO_35,32,4466,19
10,2017,35+_TO_40,15,7487,12
10,2017,4O+_TO_45,33,13563,22
10,2018,20+_TO_25,3,1250,2
10,2018,25+_TO_30,20,8225,10
10,2018,30+_TO_35,47,17923,15
10,2018,35+_TO_40,60,16323,15
10,2018,4O+_TO_45,20,3452,12
10,2019,20+_TO_25,4,3101,4
10,2019,25+_TO_30,22,9559,14
10,2019,30+_TO_35,23,5335,14
10,2019,35+_TO_40,23,2887,9
10,2019,4O+_TO_45,15,2464,10
10,2020,20+_TO_25,2,2050,2
10,2020,20_OR_LESS,1,1000,1
10,2020,25+_TO_30,41,11376,22
10,2020,30+_TO_35,48,185069,12
10,2020,35+_TO_40,5,7530,5
10,2020,4O+_TO_45,9,1239,8
11,2002,25+_TO_30,1,1,1
11,2002,30+_TO_35,1,1,1
11,2003,25+_TO_30,1,5,1
11,2004,30+_TO_35,2,2,2
11,2005,25+_TO_30,1,1,1
11,2006,20+_TO_25,3,3,3
11,2006,25+_TO_30,1,1,1
11,2008,20+_TO_25,2,2001,2
11,2008,25+_TO_30,1,1,1
11,2008,30+_TO_35,1,2000,1
11,2009,20+_TO_25,1,200,1
11,2009,20_OR_LESS,2,200000,1
11,2009,25+_TO_30,1,1000,1
11,2009,30+_TO_35,1,100,1
11,2009,35+_TO_40,1,200,1
11,2010,20+_TO_25,2,2200,2
11,2010,25+_TO_30,5,1203,4
11,2010,30+_TO_35,4,598,3
11,2011,25+_TO_30,2,115,2
11,2011,30+_TO_35,3,2300,3
11,2011,35+_TO_40,2,8001,1
11,2012,20+_TO_25,1,5,1
11,2012,25+_TO_30,1,25,1
11,2012,30+_TO_35,1,1000,1
11,2012,35+_TO_40,1,13460,1
11,2013,20_OR_LESS,1,50,1
11,2013,25+_TO_30,1,117,1
11,2013,30+_TO_35,3,9000,1
11,2013,35+_TO_40,4,44000,2
11,2014,20+_TO_25,1,3000,1
11,2014,20_OR_LESS,1,1000,1
11,2014,25+_TO_30,5,2610,4
11,2014,30+_TO_35,3,420,3
11,2015,20+_TO_25,11,1005313,6
11,2015,20_OR_LESS,3,2800,3
11,2015,25+_TO_30,4,61,4
11,2015,30+_TO_35,5,882,5
11,2015,35+_TO_40,7,63570,6
11,2016,20+_TO_25,12,162770,7
11,2016,20_OR_LESS,2,2,2
11,2016,25+_TO_30,3,1097,3
11,2016,30+_TO_35,4,190,4
11,2016,35+_TO_40,1,1,1
11,2017,20+_TO_25,2,1050,2
11,2017,25+_TO_30,1,18,1
11,2017,30+_TO_35,3,4010,3
11,2018,20+_TO_25,4,2950,2
11,2018,20_OR_LESS,2,10001,2
11,2018,25+_TO_30,8,2552,6
11,2018,30+_TO_35,1,100,1
11,2018,35+_TO_40,6,1183,6
11,2019,20+_TO_25,3,5000,2
11,2019,20_OR_LESS,1,25,1
11,2019,25+_TO_30,3,210,3
11,2019,30+_TO_35,2,35,2
11,2020,20+_TO_25,1,50,1
12,2006,20_OR_LESS,1,1,1
12,2006,30+_TO_35,1,1,1
12,2007,20_OR_LESS,1,1000000,1
12,2012,35+_TO_40,2,7500,2
12,2013,30+_TO_35,1,100,1
12,2013,35+_TO_40,4,13900,4
12,2014,35+_TO_40,1,600,1
12,2015,30+_TO_35,1,36,1
12,2015,35+_TO_40,2,1006,1
12,2016,20+_TO_25,1,2500,1
12,2016,30+_TO_35,1,100,1
12,2016,35+_TO_40,1,500,1
12,2018,35+_TO_40,1,110,1
