month,year,lat_range,larva_first_sight_dates,larva_first_sight_number,larva_first_sight_distinct_dates
1,2000,25+_TO_30,1,1,1
1,2001,25+_TO_30,1,1,1
1,2002,25+_TO_30,1,1,1
1,2004,25+_TO_30,1,1,1
1,2005,25+_TO_30,2,2,1
1,2006,25+_TO_30,3,3,3
1,2007,20_OR_LESS,1,1,1
1,2008,25+_TO_30,2,2,1
1,2009,25+_TO_30,4,4,3
1,2009,30+_TO_35,2,2,2
1,2010,25+_TO_30,1,1,1
1,2011,25+_TO_30,3,3,3
1,2011,30+_TO_35,1,1,1
1,2012,25+_TO_30,4,4,4
1,2012,30+_TO_35,4,4,4
1,2014,25+_TO_30,1,1,1
1,2014,30+_TO_35,6,6,5
1,2014,35+_TO_40,1,1,1
1,2015,25+_TO_30,3,3,2
1,2015,30+_TO_35,2,2,2
1,2016,25+_TO_30,5,42,5
1,2016,30+_TO_35,5,33,4
1,2018,25+_TO_30,1,6,1
1,2018,30+_TO_35,3,9,3
1,2019,30+_TO_35,1,21,1
1,2020,25+_TO_30,1,1,1
2,2000,25+_TO_30,1,1,1
2,2001,25+_TO_30,4,4,3
2,2001,35+_TO_40,1,1,1
2,2002,25+_TO_30,2,2,2
2,2003,25+_TO_30,1,1,1
2,2004,25+_TO_30,3,3,3
2,2005,25+_TO_30,3,3,3
2,2005,30+_TO_35,1,1,1
2,2006,25+_TO_30,5,5,4
2,2006,30+_TO_35,1,1,1
2,2007,25+_TO_30,2,2,2
2,2008,25+_TO_30,4,4,3
2,2009,25+_TO_30,4,4,4
2,2009,30+_TO_35,3,3,3
2,2010,25+_TO_30,3,3,3
2,2011,25+_TO_30,2,2,2
2,2011,30+_TO_35,3,3,3
2,2012,25+_TO_30,5,5,4
2,2012,30+_TO_35,5,5,3
2,2013,25+_TO_30,2,2,2
2,2013,30+_TO_35,1,1,1
2,2014,25+_TO_30,2,2,2
2,2014,30+_TO_35,4,4,3
2,2015,25+_TO_30,7,7,5
2,2015,30+_TO_35,6,6,4
2,2016,25+_TO_30,8,32,6
2,2016,30+_TO_35,4,9,4
2,2017,25+_TO_30,2,7,2
2,2017,30+_TO_35,6,39,6
2,2018,25+_TO_30,6,32,6
2,2018,30+_TO_35,6,37,6
2,2019,25+_TO_30,1,5,1
2,2019,30+_TO_35,1,2,1
2,2020,25+_TO_30,2,18,2
2,2020,30+_TO_35,3,4,3
3,2000,25+_TO_30,5,5,4
3,2000,30+_TO_35,3,3,3
3,2001,25+_TO_30,4,4,3
3,2001,30+_TO_35,1,1,1
3,2002,25+_TO_30,6,6,6
3,2002,30+_TO_35,1,1,1
3,2003,25+_TO_30,5,5,5
3,2003,30+_TO_35,1,1,1
3,2004,25+_TO_30,11,11,10
3,2004,30+_TO_35,1,1,1
3,2005,25+_TO_30,6,6,5
3,2005,30+_TO_35,1,1,1
3,2006,25+_TO_30,8,8,6
3,2006,30+_TO_35,5,5,5
3,2007,25+_TO_30,9,9,7
3,2007,30+_TO_35,4,4,3
3,2008,25+_TO_30,5,5,4
3,2008,30+_TO_35,4,4,4
3,2009,25+_TO_30,9,9,6
3,2009,30+_TO_35,6,6,6
3,2010,25+_TO_30,2,2,2
3,2010,30+_TO_35,1,1,1
3,2011,25+_TO_30,15,15,11
3,2011,30+_TO_35,12,12,11
3,2012,25+_TO_30,20,20,18
3,2012,30+_TO_35,25,25,16
3,2012,35+_TO_40,2,2,2
3,2013,25+_TO_30,12,12,9
3,2013,30+_TO_35,4,4,4
3,2014,20+_TO_25,5,5,3
3,2014,25+_TO_30,17,17,14
3,2014,30+_TO_35,9,9,9
3,2015,25+_TO_30,17,17,14
3,2015,30+_TO_35,11,11,9
3,2015,35+_TO_40,6,6,4
3,2016,20+_TO_25,2,16,2
3,2016,25+_TO_30,26,118,16
3,2016,30+_TO_35,18,67,14
3,2016,35+_TO_40,3,8,3
3,2017,20+_TO_25,1,2,1
3,2017,25+_TO_30,15,34,11
3,2017,30+_TO_35,21,71,14
3,2017,35+_TO_40,1,1,1
3,2018,20+_TO_25,3,5,2
3,2018,20_OR_LESS,1,1,1
3,2018,25+_TO_30,34,222,18
3,2018,30+_TO_35,13,109,12
3,2019,25+_TO_30,31,116,19
3,2019,30+_TO_35,21,235,15
3,2020,20+_TO_25,1,4,1
3,2020,25+_TO_30,30,169,17
3,2020,30+_TO_35,49,672,23
3,2020,35+_TO_40,3,8,3
4,2000,25+_TO_30,2,2,2
4,2000,30+_TO_35,3,3,3
4,2000,35+_TO_40,1,1,1
4,2001,25+_TO_30,9,9,6
4,2001,30+_TO_35,3,3,3
4,2001,35+_TO_40,3,3,2
4,2002,25+_TO_30,1,1,1
4,2002,30+_TO_35,5,5,5
4,2002,35+_TO_40,1,1,1
4,2003,25+_TO_30,3,3,3
4,2003,30+_TO_35,5,5,5
4,2003,35+_TO_40,2,2,2
4,2004,25+_TO_30,11,11,9
4,2004,30+_TO_35,5,5,5
4,2005,25+_TO_30,1,1,1
4,2005,30+_TO_35,6,6,4
4,2005,35+_TO_40,1,1,1
4,2005,4O+_TO_45,1,1,1
4,2006,25+_TO_30,6,6,6
4,2006,30+_TO_35,12,12,11
4,2006,35+_TO_40,5,5,4
4,2007,25+_TO_30,5,5,5
4,2007,30+_TO_35,3,3,3
4,2007,35+_TO_40,4,4,4
4,2008,25+_TO_30,1,1,1
4,2008,30+_TO_35,12,12,9
4,2008,35+_TO_40,3,3,3
4,2009,25+_TO_30,7,7,7
4,2009,30+_TO_35,12,12,8
4,2009,35+_TO_40,3,3,3
4,2010,25+_TO_30,14,14,11
4,2010,30+_TO_35,9,9,8
4,2011,20+_TO_25,1,1,1
4,2011,25+_TO_30,14,14,11
4,2011,30+_TO_35,14,14,11
4,2011,35+_TO_40,13,13,9
4,2011,4O+_TO_45,1,1,1
4,2012,25+_TO_30,7,7,6
4,2012,30+_TO_35,15,15,11
4,2012,35+_TO_40,14,14,9
4,2012,4O+_TO_45,1,1,1
4,2013,25+_TO_30,9,9,9
4,2013,30+_TO_35,27,27,18
4,2013,35+_TO_40,1,1,1
4,2014,20+_TO_25,2,2,2
4,2014,25+_TO_30,17,17,13
4,2014,30+_TO_35,30,30,18
4,2014,35+_TO_40,7,7,7
4,2015,20+_TO_25,1,1,1
4,2015,25+_TO_30,26,26,17
4,2015,30+_TO_35,35,35,18
4,2015,35+_TO_40,12,12,8
4,2016,20+_TO_25,1,1,1
4,2016,20_OR_LESS,1,1,1
4,2016,25+_TO_30,22,151,13
4,2016,30+_TO_35,36,119,21
4,2016,35+_TO_40,7,28,7
4,2017,25+_TO_30,14,39,11
4,2017,30+_TO_35,63,424,25
4,2017,35+_TO_40,104,1334,20
4,2017,4O+_TO_45,8,61,6
4,2018,25+_TO_30,15,98,9
4,2018,30+_TO_35,47,381,21
4,2018,35+_TO_40,9,76,7
4,2019,25+_TO_30,9,116,7
4,2019,30+_TO_35,62,374,25
4,2019,35+_TO_40,33,243,11
4,2020,25+_TO_30,6,40,5
4,2020,30+_TO_35,55,368,24
4,2020,35+_TO_40,34,362,18
5,2000,35+_TO_40,2,2,2
5,2001,35+_TO_40,1,1,1
5,2001,4O+_TO_45,5,5,4
5,2002,30+_TO_35,1,1,1
5,2002,35+_TO_40,4,4,4
5,2002,45+_TO_50,1,1,1
5,2002,4O+_TO_45,4,4,3
5,2003,30+_TO_35,2,2,2
5,2003,35+_TO_40,5,5,5
5,2003,45+_TO_50,2,2,2
5,2003,4O+_TO_45,5,5,5
5,2004,30+_TO_35,1,1,1
5,2004,35+_TO_40,3,3,3
5,2004,4O+_TO_45,3,3,3
5,2005,30+_TO_35,2,2,2
5,2005,4O+_TO_45,1,1,1
5,2006,30+_TO_35,2,2,2
5,2006,35+_TO_40,12,12,10
5,2006,45+_TO_50,2,2,2
5,2006,4O+_TO_45,22,22,12
5,2007,35+_TO_40,5,5,4
5,2007,45+_TO_50,2,2,2
5,2007,4O+_TO_45,13,13,10
5,2008,25+_TO_30,1,1,1
5,2008,30+_TO_35,2,2,2
5,2008,35+_TO_40,6,6,6
5,2008,4O+_TO_45,7,7,6
5,2009,25+_TO_30,2,2,2
5,2009,30+_TO_35,6,6,5
5,2009,35+_TO_40,10,10,9
5,2009,4O+_TO_45,10,10,9
5,2010,25+_TO_30,6,6,5
5,2010,30+_TO_35,5,5,5
5,2010,35+_TO_40,8,8,6
5,2010,45+_TO_50,1,1,1
5,2010,4O+_TO_45,16,16,11
5,2011,25+_TO_30,1,1,1
5,2011,30+_TO_35,5,5,5
5,2011,35+_TO_40,16,16,11
5,2011,45+_TO_50,1,1,1
5,2011,4O+_TO_45,6,6,6
5,2012,25+_TO_30,2,2,2
5,2012,30+_TO_35,3,3,3
5,2012,35+_TO_40,10,10,9
5,2012,45+_TO_50,4,4,4
5,2012,4O+_TO_45,32,32,19
5,2013,25+_TO_30,4,4,4
5,2013,30+_TO_35,4,4,3
5,2013,35+_TO_40,4,4,4
5,2013,4O+_TO_45,1,1,1
5,2014,25+_TO_30,3,3,3
5,2014,30+_TO_35,3,3,3
5,2014,35+_TO_40,33,33,19
5,2014,45+_TO_50,1,1,1
5,2014,4O+_TO_45,17,17,8
5,2015,25+_TO_30,4,4,3
5,2015,30+_TO_35,10,10,8
5,2015,35+_TO_40,25,25,16
5,2015,45+_TO_50,2,2,2
5,2015,4O+_TO_45,6,6,5
5,2016,25+_TO_30,5,10,4
5,2016,30+_TO_35,13,92,8
5,2016,35+_TO_40,12,40,10
5,2016,45+_TO_50,1,1,1
5,2016,4O+_TO_45,6,13,4
5,2017,25+_TO_30,4,28,4
5,2017,30+_TO_35,6,20,5
5,2017,35+_TO_40,56,454,25
5,2017,45+_TO_50,2,2,2
5,2017,4O+_TO_45,35,227,21
5,2018,25+_TO_30,3,10,3
5,2018,30+_TO_35,16,71,14
5,2018,35+_TO_40,72,460,27
5,2018,45+_TO_50,3,6,2
5,2018,4O+_TO_45,66,379,20
5,2019,25+_TO_30,2,26,2
5,2019,30+_TO_35,14,69,10
5,2019,35+_TO_40,77,359,27
5,2019,4O+_TO_45,40,138,12
5,2020,25+_TO_30,2,9,2
5,2020,30+_TO_35,18,59,13
5,2020,35+_TO_40,65,320,25
5,2020,4O+_TO_45,28,98,7
6,2000,45+_TO_50,1,1,1
6,2000,4O+_TO_45,1,1,1
6,2001,35+_TO_40,1,1,1
6,2001,45+_TO_50,5,5,4
6,2001,4O+_TO_45,6,6,6
6,2002,45+_TO_50,2,2,2
6,2002,4O+_TO_45,6,6,6
6,2003,30+_TO_35,1,1,1
6,2003,35+_TO_40,2,2,2
6,2003,45+_TO_50,2,2,2
6,2003,4O+_TO_45,6,6,6
6,2004,35+_TO_40,4,4,3
6,2004,45+_TO_50,2,2,2
6,2004,4O+_TO_45,6,6,6
6,2005,25+_TO_30,1,1,1
6,2005,35+_TO_40,3,3,3
6,2005,45+_TO_50,5,5,4
6,2005,4O+_TO_45,16,16,12
6,2005,5O+_OR_GREATER,1,1,1
6,2006,35+_TO_40,3,3,3
6,2006,45+_TO_50,6,6,6
6,2006,4O+_TO_45,14,14,11
6,2007,30+_TO_35,1,1,1
6,2007,35+_TO_40,1,1,1
6,2007,45+_TO_50,8,8,8
6,2007,4O+_TO_45,10,10,10
6,2007,5O+_OR_GREATER,1,1,1
6,2008,25+_TO_30,2,2,2
6,2008,35+_TO_40,4,4,4
6,2008,45+_TO_50,3,3,3
6,2008,4O+_TO_45,37,37,22
6,2009,25+_TO_30,3,3,1
6,2009,35+_TO_40,2,2,2
6,2009,45+_TO_50,1,1,1
6,2009,4O+_TO_45,19,19,14
6,2010,25+_TO_30,1,1,1
6,2010,35+_TO_40,13,13,10
6,2010,45+_TO_50,6,6,6
6,2010,4O+_TO_45,23,23,17
6,2011,25+_TO_30,3,3,3
6,2011,30+_TO_35,1,1,1
6,2011,35+_TO_40,4,4,4
6,2011,45+_TO_50,8,8,6
6,2011,4O+_TO_45,21,21,14
6,2012,25+_TO_30,1,1,1
6,2012,30+_TO_35,3,3,3
6,2012,35+_TO_40,1,1,1
6,2012,45+_TO_50,4,4,4
6,2012,4O+_TO_45,9,9,6
6,2012,5O+_OR_GREATER,1,1,1
6,2013,25+_TO_30,3,3,3
6,2013,30+_TO_35,4,4,4
6,2013,35+_TO_40,5,5,5
6,2013,45+_TO_50,3,3,3
6,2013,4O+_TO_45,16,16,11
6,2014,25+_TO_30,4,4,4
6,2014,30+_TO_35,3,3,3
6,2014,35+_TO_40,18,18,14
6,2014,45+_TO_50,17,17,11
6,2014,4O+_TO_45,69,69,26
6,2015,25+_TO_30,2,2,2
6,2015,30+_TO_35,3,3,2
6,2015,35+_TO_40,25,25,16
6,2015,45+_TO_50,13,14,11
6,2015,4O+_TO_45,76,78,27
6,2016,25+_TO_30,1,1,1
6,2016,30+_TO_35,3,14,3
6,2016,35+_TO_40,17,188,14
6,2016,45+_TO_50,14,46,12
6,2016,4O+_TO_45,73,116,28
6,2017,25+_TO_30,3,5,3
6,2017,30+_TO_35,3,11,3
6,2017,35+_TO_40,29,74,21
6,2017,45+_TO_50,29,90,20
6,2017,4O+_TO_45,96,268,30
6,2018,25+_TO_30,2,5,2
6,2018,30+_TO_35,4,17,4
6,2018,35+_TO_40,40,143,21
6,2018,45+_TO_50,21,85,16
6,2018,4O+_TO_45,107,321,27
6,2018,5O+_OR_GREATER,2,4,2
6,2019,25+_TO_30,2,2,2
6,2019,30+_TO_35,5,26,5
6,2019,35+_TO_40,45,127,23
6,2019,45+_TO_50,15,46,12
6,2019,4O+_TO_45,165,585,29
6,2020,25+_TO_30,2,5,2
6,2020,30+_TO_35,7,29,6
6,2020,35+_TO_40,51,100,21
6,2020,45+_TO_50,21,76,14
6,2020,4O+_TO_45,153,408,30
7,2001,45+_TO_50,1,1,1
7,2001,4O+_TO_45,2,2,2
7,2002,35+_TO_40,2,2,2
7,2002,45+_TO_50,1,1,1
7,2002,4O+_TO_45,6,6,4
7,2003,4O+_TO_45,1,1,1
7,2004,25+_TO_30,1,1,1
7,2004,35+_TO_40,3,3,2
7,2004,45+_TO_50,1,1,1
7,2004,4O+_TO_45,2,2,2
7,2005,35+_TO_40,3,3,3
7,2005,45+_TO_50,4,4,3
7,2005,4O+_TO_45,3,3,3
7,2006,35+_TO_40,1,1,1
7,2006,45+_TO_50,1,1,1
7,2006,4O+_TO_45,5,5,4
7,2007,25+_TO_30,1,1,1
7,2007,35+_TO_40,1,1,1
7,2007,45+_TO_50,1,1,1
7,2007,4O+_TO_45,7,7,6
7,2007,5O+_OR_GREATER,1,1,1
7,2008,25+_TO_30,1,1,1
7,2008,30+_TO_35,1,1,1
7,2008,35+_TO_40,3,3,3
7,2008,4O+_TO_45,7,7,7
7,2009,20+_TO_25,2,2,1
7,2009,25+_TO_30,1,1,1
7,2009,35+_TO_40,5,5,5
7,2009,45+_TO_50,4,4,4
7,2009,4O+_TO_45,9,9,7
7,2010,25+_TO_30,1,1,1
7,2010,35+_TO_40,9,9,9
7,2010,45+_TO_50,1,1,1
7,2010,4O+_TO_45,13,13,12
7,2011,25+_TO_30,1,1,1
7,2011,30+_TO_35,2,2,1
7,2011,35+_TO_40,4,4,4
7,2011,45+_TO_50,2,2,2
7,2011,4O+_TO_45,13,13,9
7,2012,30+_TO_35,3,3,3
7,2012,35+_TO_40,5,5,5
7,2012,45+_TO_50,4,4,4
7,2012,4O+_TO_45,8,8,8
7,2012,5O+_OR_GREATER,1,1,1
7,2013,25+_TO_30,2,2,2
7,2013,30+_TO_35,4,4,4
7,2013,35+_TO_40,9,9,9
7,2013,45+_TO_50,5,5,5
7,2013,4O+_TO_45,26,26,19
7,2013,5O+_OR_GREATER,1,1,1
7,2014,25+_TO_30,2,2,2
7,2014,30+_TO_35,3,3,3
7,2014,35+_TO_40,2,2,2
7,2014,45+_TO_50,2,2,2
7,2014,4O+_TO_45,6,6,6
7,2014,5O+_OR_GREATER,1,1,1
7,2015,30+_TO_35,6,33,6
7,2015,35+_TO_40,12,45,9
7,2015,45+_TO_50,7,22,6
7,2015,4O+_TO_45,55,98,25
7,2016,25+_TO_30,1,2,1
7,2016,30+_TO_35,3,3,2
7,2016,35+_TO_40,30,76,20
7,2016,45+_TO_50,14,37,10
7,2016,4O+_TO_45,50,94,27
7,2016,5O+_OR_GREATER,1,1,1
7,2017,20+_TO_25,1,3,1
7,2017,25+_TO_30,3,31,3
7,2017,35+_TO_40,19,47,14
7,2017,45+_TO_50,12,40,10
7,2017,4O+_TO_45,56,139,25
7,2018,30+_TO_35,2,13,2
7,2018,35+_TO_40,37,180,20
7,2018,45+_TO_50,15,43,12
7,2018,4O+_TO_45,69,411,29
7,2018,5O+_OR_GREATER,1,1,1
7,2019,30+_TO_35,4,7,3
7,2019,35+_TO_40,20,46,17
7,2019,45+_TO_50,9,56,8
7,2019,4O+_TO_45,62,189,24
7,2019,5O+_OR_GREATER,1,6,1
7,2020,25+_TO_30,2,4,2
7,2020,30+_TO_35,4,15,4
7,2020,35+_TO_40,40,148,23
7,2020,45+_TO_50,17,79,13
7,2020,4O+_TO_45,89,249,30
7,2020,5O+_OR_GREATER,1,1,1
8,2004,35+_TO_40,1,1,1
8,2007,35+_TO_40,1,1,1
8,2007,4O+_TO_45,1,1,1
8,2008,25+_TO_30,1,1,1
8,2008,30+_TO_35,1,1,1
8,2010,35+_TO_40,2,2,1
8,2011,35+_TO_40,3,3,3
8,2011,4O+_TO_45,4,4,4
8,2012,4O+_TO_45,1,1,1
8,2013,4O+_TO_45,1,1,1
8,2016,45+_TO_50,1,1,1
8,2017,30+_TO_35,1,1,1
8,2018,45+_TO_50,1,2,1
8,2020,45+_TO_50,1,3,1
9,2016,4O+_TO_45,1,3,1
10,2020,35+_TO_40,1,4,1
11,2007,30+_TO_35,1,1,1
12,1999,25+_TO_30,2,2,2
12,2009,35+_TO_40,1,1,1
12,2014,25+_TO_30,1,1,1
12,2014,30+_TO_35,1,1,1
12,2015,30+_TO_35,1,15,1
12,2016,25+_TO_30,1,1,1
12,2018,35+_TO_40,1,10,1
12,2019,30+_TO_35,1,4,1
12,2020,30+_TO_35,1,1,1
